Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
57,,CCAFS,,"9,600 kg",,,,,SpaceX CRS-5,,F9 B5,,9 October 2017,21:30
58,,CCAFS,,"2,490 kg",,,,,DSCOVR,,F9 B5B1049.6,,11 October 2017,05:12
59,,CCAFS,,"5,600 kg",,,,,ABS-3A,,F9 B5,,30 October 2017,14:31
60,,CCAFS,,"5,300 kg",,,,,SpaceX CRS-6,,F9 B5B1060.2,,15 December 2017,23:18
61,,VAFB,,C,,,,,TürkmenÄlem 52°E / MonacoSAT,,F9 B5B1058.3,,23 December 2017,12:46:14
62,,CCAFS,,"6,070 kg",,,,,SpaceX CRS-7,,F9 B5B1051.6,,8 January 2018,11:29:34
63,,CCAFS,,"2,708 kg",,,,,Orbcomm-OG2,,F9 B5,,31 January 2018,12:25:57
64,,Cape Canaveral,,"3,669 kg",,,,,Jason-3,,F9 B5,,22 February 2018,15:31:34
65,,Cape Canaveral,,"9,600 kg",,,,,SES-9,,F9 B5,,6 March 2018,23:24:23
66,,Cape Canaveral,,"6,761 kg",,,,,SpaceX CRS-8,,F9 B5,,30 March 2018,00:27
67,,Cape Canaveral,,"3,310 kg",,,,,JCSAT-14,,F9 B5 ♺,,2 April 2018,17:17:08
68,,Cape Canaveral,,475 kg,,,,,Thaicom 8,,F9 B5 ♺,,18 April 2018,02:13
69,,Cape Canaveral,,"4,990 kg",,,,,ABS-2A,,F9 B5 ♺,,11 May 2018,16:17:08
70,,Cape Canaveral,,"9,600 kg",,,,,SpaceX CRS-9,,F9 B5 ♺,,22 May 2018,17:30:00
71,,Cape Canaveral,,"5,200 kg",,,,,JCSAT-16,,F9 B5,,4 June 2018,14:00:00
72,,Cape Canaveral,,"3,500 kg",,,,,Iridium NEXT,,F9 B5B1051.8,,29 June 2018,02:15
73,,Cape Canaveral,,"2,205 kg",,,,,SpaceX CRS-10,,F9 B5B1058.5,,22 July 2018,13:02
74,,Cape Canaveral,,"9,600 kg",,,,,EchoStar 23,,F9 v1.0B0003.1,,25 July 2018,15:00
75,,Cape Canaveral,,C,,,,,SES-10,,F9 v1.0B0004.1,,7 August 2018,18:45
76,,VAFB,,"4,230 kg",,,,,NROL-76,,F9 v1.0B0005.1,,10 September 2018,15:43
77,,Cape Canaveral,,"2,150 kg",,,,,Inmarsat-5 F4,,F9 v1.0B0006.1,,8 October 2018,07:44
78,,Cape Canaveral,,"6,092 kg",,,,,SpaceX CRS-11,,F9 v1.0B0007.1,,15 November 2018,00:35
79,,Cape Canaveral,,"9,600 kg",,,,,BulgariaSat-1,,F9 v1.1B1003,,3 December 2018,15:10
80,,Cape Canaveral,,"2,647 kg",,,,,Iridium NEXT,,F9 v1.1,,5 December 2018,16:00
81,,Cape Canaveral,,362 kg,,,,,Intelsat 35e,,F9 v1.1,,23 December 2018,22:41
82,,Cape Canaveral,,"3,600 kg",,,,,SpaceX CRS-12,,F9 v1.1,,11 January 2019,22:06
83,,Cape Canaveral,,"6,460 kg",,,,,Formosat-5,,F9 v1.1,,22 February 2019,19:25
84,,VAFB,,"5,384 kg",,,,,Boeing X-37B,,F9 v1.1,,2 March 2019,15:15
85,,KSC,,"2,697 kg",,,,,Iridium NEXT,,F9 v1.1,,4 May 2019,08:00
86,,KSC,,"7,075 kg",,,,,SES-11,,F9 v1.1,,24 May 2019,05:00
87,,KSC,,"9,600 kg",,,,,Koreasat 5A,,F9 v1.1,,12 June 2019,05:52
88,,KSC,,"5,800 kg",,,,,SpaceX CRS-13,,F9 v1.1,,25 July 2019,09:47
89,,KSC,,"7,060 kg",,,,,Iridium NEXT,,F9 v1.1,,6 August 2019,23:03
90,,KSC,,"3,000 kg",,,,,Zuma,,F9 v1.1,,11 November 2019,03:50
91,,KSC,,"5,300 kg",,,,,GovSat-1,,F9 v1.1,,5 December 2019,20:10
92,,VAFB,,"~4,000 kg",,,,,Paz,,F9 v1.1,,17 December 2019,23:03
93,,KSC,,"2,500 kg",,,,,Hispasat 30W-6,,F9 FT,,7 January 2020,14:21
94,,KSC,,"4,400 kg",,,,,Iridium NEXT,,F9 v1.1,,19 January 2020,01:29
95,,VAFB,,"9,600 kg",,,,,SpaceX CRS-14,,F9 FT,,29 January 2020,18:42
96,,KSC,,"4,850 kg",,,,,Transiting Exoplanet Survey Satellite,,F9 FT,,17 February 2020,23:35
97,,VAFB,,"12,055 kg",,,,,Bangabandhu-1,,F9 FT,,7 March 2020,20:43
98,,KSC,,"2,495 kg",,,,,Iridium NEXT,,F9 FT,,18 March 2020,05:21
99,,KSC,,"13,620 kg",,,,,SES-12,,F9 FT,,22 April 2020,21:39
100,,Cape Canaveral,,"4,200 kg",,,,,SpaceX CRS-15,,F9 FT,,30 May 2020,14:29
101,,VAFB,,"2,268 kg",,,,,Telstar 19V,,F9 FT,,4 June 2020,04:45
102,,CCAFS,,"6,500 kg",,,,,Iridium NEXT,,F9 FT,,13 June 2020,05:26
103,,CCAFS,,"15,600 kg",,,,,Merah Putih,,F9 FT,,30 June 2020,17:54
104,,VAFB,,"2,617 kg",,,,,Telstar 18V,,F9 FT,,20 July 2020,14:39
105,,CCAFS,,"6,956 kg",,,,,SAOCOM 1A,,F9 FT♺,,7 August 2020,06:00
106,,VAFB,,"15,600 kg",,,,,Es'hail 2,,F9 FT,,18 August 2020,22:27
107,,CCAFS,,"12,050 kg",,,,,SSO-A,,F9 FT,,30 August 2020,11:15
108,,CCAFS,,"15,600 kg",,,,,SpaceX CRS-16,,F9 FT,,3 September 2020,23:21
109,,KSC,,"15,600 kg",,,,,GPS III,,F9 FTB1029.2,,6 October 2020,21:07
110,,VAFB,,"1,977 kg",,,,,Iridium NEXT,,F9 FT,,18 October 2020,19:10
111,,CCAFS,,"15,600 kg",,,,,Nusantara Satu,,F9 FT,,24 October 2020,20:25
112,,CCAFS,,"15,600 kg",,,,,Crew Dragon Demo-1,,F9 B4,,5 November 2020,23:38
113,,CCAFS,,"12,530 kg",,,,,SpaceX CRS-17,,F9 FT,,16 November 2020,16:31
114,,VAFB,,"15,600 kg",,,,,Starlink,,F9 B4,,21 November 2020,18:51
115,,CCAFS,,"15,410 kg",,,,,RADARSAT Constellation,,F9 B4,,25 November 2020,14:00
116,,CCAFS,,"4,311 kg",,,,,SpaceX CRS-18,,F9 FTB1031.2,,6 December 2020,12:37
117,,VAFB,,"5,000–6,000 kg",,,,,AMOS-17,,F9 B4,,13 December 2020,22:53:00
118,,KSC,,"14,932 kg",,,,,Starlink,,F9 FTB1035.2,,19 December 2020,19:34
119,,VAFB,,"~15,440 kg",,,,,SpaceX CRS-19,,F9 FTB1036.2,,8 January 2021,15:36
120,,CCAFS,,"3,130 kg",,,,,JCSat-18,,F9 B4,,20 January 2021,01:27
121,,CCAFS,,"15,600 kg",,,,,Starlink,,F9 FTB1032.2,,24 January 2021,01:00
1,,VAFB,,"15,600 kg",,,,,Crew Dragon in-flight abort test,,F9 FTB1038.2,,4 February 2021,21:25
2,,CCAFS,,"15,600 kg",,,,,Starlink,,F9 B4,,16 February 2021,14:17
3,,KSC,,"15,600 kg",,,,,Starlink,,F9 B4B1041.2,,4 March 2021,05:33
4,,CCAFS,,"4,311 kg",,,,,SpaceX CRS-20,,F9 B4B1039.2,,11 March 2021,14:14
5,,CCAFS,,"~12,500 kg",,,,,Starlink,,F9 B4,,14 March 2021,20:30
6,,VAFB,,"1,192 kg",,,,,Starlink,,F9 B5B1046.1,,24 March 2021,22:51
7,,CCAFS,,"15,600 kg",,,,,Crew Dragon Demo-2,,F9 B4B1043.2,,7 April 2021,20:14
8,,CCAFS,,"2,972 kg",,,,,Starlink,,F9 B4B1040.2,,23 April 2021,19:47
9,,CCAFS,,"7,000 kg",,,,,Starlink,,F9 B4B1045.2,,29 April 2021,04:45
10,,CCAFS,,C,,,,,GPS III,,F9 B5,,4 May 2021,09:42
11,,CCAFS,,"3,500 kg",,,,,ANASIS-II,,F9 B5B1048,,9 May 2021,05:50
12,,CCAFS,,"15,600 kg",,,,,Starlink,,F9 B5B1046.2,,15 May 2021,11:39
13,,KSC,,"~5,000 kg",,,,,Starlink,,F9 B5,,26 May 2021,05:18
14,,CCAFS,,,,,,,SAOCOM 1B,,F9 B5B1048.2,,3 June 2021,04:45
15,,CCAFS,,,,,,,Starlink,,F9 B5B1047.2,,6 June 2021,02:22
16,,CCAFS,,,,,,,Starlink,,F9 B5B1046.3,,4 June 2010,20:46
17,,KSC,,,,,,,Starlink,,F9 B5,,8 December 2010,18:34:05
18,,KSC,,,,,,,Starlink,,F9 B5,,22 May 2012,18:16
19,,KSC,,,,,,,GPS III,,F9 B5B1049.2,,8 October 2012,13:51
20,,CCAFS,,,,,,,Crew-1,,F9 B5B1048.3,,1 March 2013,15:31
21,,CCAFS,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),,F9 B5[268],,29 September 2013,01:45
22,,CCAFS,,,,,,,Starlink,,F9 B5,,3 December 2013,07:49
23,,CCAFS,,,,,,,SpaceX CRS-21,,F9 B5B1049.3,,6 January 2014,06:48
24,,KSC,,,,,,,SXM-7,,F9 B5B1051.2,,18 April 2014,02:30
25,,CCAFS,,,,,,,NROL-108,,F9 B5B1056.2,,14 July 2014,14:17
26,,CCAFS,,,,,,,Türksat 5A,,F9 B5B1047.3,,5 August 2014,22:01
27,,KSC,,,,,,,Starlink,,F9 B5,,7 September 2014,23:23
28,,KSC,,,,,,,Transporter-1,,F9 B5,,21 September 2014,14:56
29,,KSC,,,,,,,Dragon Spacecraft Qualification Unit,,F9 B5B1056.3,,10 January 2015,17:29
30,,CCAFS,,,,,,,Dragon,,F9 B5,,11 February 2015,00:10
31,,CCAFS,,,,,,,Dragon,,F9 B5,,2 March 2015,02:19:21
32,,KSC,,,,,,,SpaceX CRS-1,,F9 B5,,14 April 2015,15:30
33,,VAFB,,,,,,,SpaceX CRS-2,,F9 B5,,27 April 2015,14:07
34,,CCAFS,,,,,,,CASSIOPE,,F9 B5,,28 June 2015,15:05
35,,KSC,,,,,,,SES-8,,F9 B5,,22 December 2015,04:50
36,,CCSFS,,,,,,,Thaicom 6,,F9 B5,,17 January 2016,12:16
37,,KSC,,,,,,,SpaceX CRS-3,,F9 B5,,4 March 2016,19:30
38,,CCSFS,,,,,,,Orbcomm-OG2,,F9 B5,,8 April 2016,19:22
39,,KSC,,,,,,,AsiaSat 8,,F9 B5,,6 May 2016,01:25
40,,CCSFS,,,,,,,AsiaSat 6,,F9 B5,,27 May 2016,09:21
41,,CCAFS,,,,,,,SpaceX CRS-4,,F9 B5B1058.2,,15 June 2016,20:10:46
42,,CCAFS,,,,,,,SpaceX CRS-5,,F9 B5,,18 July 2016,21:30
43,,CCAFS,,,,,,,DSCOVR,,F9 B5B1049.6,,14 August 2016,05:12
44,,CCAFS,,,,,,,ABS-3A,,F9 B5,,14 January 2017,14:31
45,,CCAFS,,,,,,,SpaceX CRS-6,,F9 B5B1060.2,,19 February 2017,23:18
46,,VAFB,,,,,,,TürkmenÄlem 52°E / MonacoSAT,,F9 B5B1058.3,,16 March 2017,12:46:14
47,,CCAFS,,,,,,,SpaceX CRS-7,,F9 B5B1051.6,,30 March 2017,11:29:34
48,,CCAFS,,,,,,,Orbcomm-OG2,,F9 B5,,1 May 2017,12:25:57
49,,Cape Canaveral,,,,,,,Jason-3,,F9 B5,,15 May 2017,15:31:34
50,,Cape Canaveral,,,,,,,SES-9,,F9 B5,,3 June 2017,23:24:23
51,,Cape Canaveral,,,,,,,SpaceX CRS-8,,F9 B5,,23 June 2017,00:27
52,,Cape Canaveral,,,,,,,JCSAT-14,,F9 B5 ♺,,25 June 2017,17:17:08
53,,Cape Canaveral,,,,,,,Thaicom 8,,F9 B5 ♺,,5 July 2017,02:13
54,,Cape Canaveral,,,,,,,ABS-2A,,F9 B5 ♺,,14 August 2017,16:17:08
55,,Cape Canaveral,,,,,,,SpaceX CRS-9,,F9 B5 ♺,,24 August 2017,17:30:00
56,,Cape Canaveral,,,,,,,JCSAT-16,,F9 B5,,7 September 2017,14:00:00
57,,Cape Canaveral,,,,,,,Iridium NEXT,,F9 B5B1051.8,,9 October 2017,02:15
58,,Cape Canaveral,,,,,,,SpaceX CRS-10,,F9 B5B1058.5,,11 October 2017,13:02
59,,CCAFS,,,,,,,EchoStar 23,,F9 v1.0B0003.1,,30 October 2017,15:00
60,,CCAFS,,,,,,,SES-10,,F9 v1.0B0004.1,,15 December 2017,18:45
61,,CCAFS,,,,,,,NROL-76,,F9 v1.0B0005.1,,23 December 2017,15:43
62,,CCAFS,,,,,,,Inmarsat-5 F4,,F9 v1.0B0006.1,,8 January 2018,07:44
63,,CCAFS,,,,,,,SpaceX CRS-11,,F9 v1.0B0007.1,,31 January 2018,00:35
64,,VAFB,,,,,,,BulgariaSat-1,,F9 v1.1B1003,,22 February 2018,15:10
65,,CCAFS,,,,,,,Iridium NEXT,,F9 v1.1,,6 March 2018,16:00
66,,CCAFS,,,,,,,Intelsat 35e,,F9 v1.1,,30 March 2018,22:41
67,,Cape Canaveral,,,,,,,SpaceX CRS-12,,F9 v1.1,,2 April 2018,22:06
68,,Cape Canaveral,,,,,,,Formosat-5,,F9 v1.1,,18 April 2018,19:25
69,,Cape Canaveral,,,,,,,Boeing X-37B,,F9 v1.1,,11 May 2018,15:15
70,,Cape Canaveral,,,,,,,Iridium NEXT,,F9 v1.1,,22 May 2018,08:00
71,,Cape Canaveral,,,,,,,SES-11,,F9 v1.1,,4 June 2018,05:00
72,,Cape Canaveral,,,,,,,Koreasat 5A,,F9 v1.1,,29 June 2018,05:52
73,,Cape Canaveral,,,,,,,SpaceX CRS-13,,F9 v1.1,,22 July 2018,09:47
74,,Cape Canaveral,,,,,,,Iridium NEXT,,F9 v1.1,,25 July 2018,23:03
75,,Cape Canaveral,,,,,,,Zuma,,F9 v1.1,,7 August 2018,03:50
76,,Cape Canaveral,,,,,,,GovSat-1,,F9 v1.1,,10 September 2018,20:10
77,,Cape Canaveral,,,,,,,Paz,,F9 v1.1,,8 October 2018,23:03
78,,Cape Canaveral,,,,,,,Hispasat 30W-6,,F9 FT,,15 November 2018,14:21
79,,VAFB,,,,,,,Iridium NEXT,,F9 v1.1,,3 December 2018,01:29
80,,Cape Canaveral,,,,,,,SpaceX CRS-14,,F9 FT,,5 December 2018,18:42
81,,Cape Canaveral,,,,,,,Transiting Exoplanet Survey Satellite,,F9 FT,,23 December 2018,23:35
82,,Cape Canaveral,,,,,,,Bangabandhu-1,,F9 FT,,11 January 2019,20:43
83,,Cape Canaveral,,,,,,,Iridium NEXT,,F9 FT,,22 February 2019,05:21
84,,Cape Canaveral,,,,,,,SES-12,,F9 FT,,2 March 2019,21:39
85,,Cape Canaveral,,,,,,,SpaceX CRS-15,,F9 FT,,4 May 2019,14:29
86,,Cape Canaveral,,,,,,,Telstar 19V,,F9 FT,,24 May 2019,04:45
87,,VAFB,,,,,,,Iridium NEXT,,F9 FT,,12 June 2019,05:26
88,,KSC,,,,,,,Merah Putih,,F9 FT,,25 July 2019,17:54
89,,KSC,,,,,,,Telstar 18V,,F9 FT,,6 August 2019,14:39
90,,KSC,,,,,,,SAOCOM 1A,,F9 FT♺,,11 November 2019,06:00
91,,KSC,,,,,,,Es'hail 2,,F9 FT,,5 December 2019,22:27
92,,KSC,,,,,,,SSO-A,,F9 FT,,17 December 2019,11:15
93,,KSC,,,,,,,SpaceX CRS-16,,F9 FT,,7 January 2020,23:21
94,,KSC,,,,,,,GPS III,,F9 FTB1029.2,,19 January 2020,21:07
95,,VAFB,,,,,,,Iridium NEXT,,F9 FT,,29 January 2020,19:10
96,,KSC,,,,,,,Nusantara Satu,,F9 FT,,17 February 2020,20:25
97,,KSC,,,,,,,Crew Dragon Demo-1,,F9 B4,,7 March 2020,23:38
98,,VAFB,,,,,,,SpaceX CRS-17,,F9 FT,,18 March 2020,16:31
99,,KSC,,,,,,,Starlink,,F9 B4,,22 April 2020,18:51
100,,VAFB,,,,,,,RADARSAT Constellation,,F9 B4,,30 May 2020,14:00
101,,KSC,,,,,,,SpaceX CRS-18,,F9 FTB1031.2,,4 June 2020,12:37
102,,KSC,,,,,,,AMOS-17,,F9 B4,,13 June 2020,22:53:00
103,,Cape Canaveral,,,,,,,Starlink,,F9 FTB1035.2,,30 June 2020,19:34
104,,VAFB,,,,,,,SpaceX CRS-19,,F9 FTB1036.2,,20 July 2020,15:36
105,,CCAFS,,,,,,,JCSat-18,,F9 B4,,7 August 2020,01:27
106,,CCAFS,,,,,,,Starlink,,F9 FTB1032.2,,18 August 2020,01:00
107,,VAFB,,,,,,,Crew Dragon in-flight abort test,,F9 FTB1038.2,,30 August 2020,21:25
108,,CCAFS,,,,,,,Starlink,,F9 B4,,3 September 2020,14:17
109,,VAFB,,,,,,,Starlink,,F9 B4B1041.2,,6 October 2020,05:33
110,,CCAFS,,,,,,,SpaceX CRS-20,,F9 B4B1039.2,,18 October 2020,14:14
111,,CCAFS,,,,,,,Starlink,,F9 B4,,24 October 2020,20:30
112,,KSC,,,,,,,Starlink,,F9 B5B1046.1,,5 November 2020,22:51
113,,VAFB,,,,,,,Crew Dragon Demo-2,,F9 B4B1043.2,,16 November 2020,20:14
114,,CCAFS,,,,,,,Starlink,,F9 B4B1040.2,,21 November 2020,19:47
115,,CCAFS,,,,,,,Starlink,,F9 B4B1045.2,,25 November 2020,04:45
116,,CCAFS,,,,,,,GPS III,,F9 B5,,6 December 2020,09:42
117,,VAFB,,,,,,,ANASIS-II,,F9 B5B1048,,13 December 2020,05:50
118,,CCAFS,,,,,,,Starlink,,F9 B5B1046.2,,19 December 2020,11:39
119,,CCAFS,,,,,,,Starlink,,F9 B5,,8 January 2021,05:18
120,,VAFB,,,,,,,SAOCOM 1B,,F9 B5B1048.2,,20 January 2021,04:45
121,,KSC,,,,,,,Starlink,,F9 B5B1047.2,,24 January 2021,02:22
1,,VAFB,,,,,,,Starlink,,F9 B5B1046.3,,4 February 2021,20:46
2,,CCAFS,,,,,,,Starlink,,F9 B5,,16 February 2021,18:34:05
3,,CCAFS,,,,,,,Starlink,,F9 B5,,4 March 2021,18:16
4,,VAFB,,,,,,,GPS III,,F9 B5B1049.2,,11 March 2021,13:51
5,,CCAFS,,,,,,,Crew-1,,F9 B5B1048.3,,14 March 2021,15:31
6,,KSC,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),,F9 B5[268],,24 March 2021,01:45
7,,CCAFS,,,,,,,Starlink,,F9 B5,,7 April 2021,07:49
8,,CCAFS,,,,,,,SpaceX CRS-21,,F9 B5B1049.3,,23 April 2021,06:48
9,,VAFB,,,,,,,SXM-7,,F9 B5B1051.2,,29 April 2021,02:30
10,,CCAFS,,,,,,,NROL-108,,F9 B5B1056.2,,4 May 2021,14:17
11,,CCAFS,,,,,,,Türksat 5A,,F9 B5B1047.3,,9 May 2021,22:01
12,,CCAFS,,,,,,,Starlink,,F9 B5,,15 May 2021,23:23
13,,CCAFS,,,,,,,Transporter-1,,F9 B5,,26 May 2021,14:56
14,,CCAFS,,,,,,,,,F9 B5B1056.3,,3 June 2021,17:29
15,,CCAFS,,,,,,,,,F9 B5,,6 June 2021,00:10
16,,KSC,,,,,,,,,F9 B5,,4 June 2010,02:19:21
17,,CCAFS,,,,,,,,,F9 B5,,8 December 2010,15:30
18,,CCAFS,,,,,,,,,F9 B5,,22 May 2012,14:07
19,,CCAFS,,,,,,,,,F9 B5,,8 October 2012,15:05
20,,KSC,,,,,,,,,F9 B5,,1 March 2013,04:50
21,,KSC,,,,,,,,,F9 B5,,29 September 2013,12:16
22,,KSC,,,,,,,,,F9 B5,,3 December 2013,19:30
23,,CCAFS,,,,,,,,,F9 B5,,6 January 2014,19:22
24,,CCAFS,,,,,,,,,F9 B5,,18 April 2014,01:25
25,,CCAFS,,,,,,,,,F9 B5,,14 July 2014,09:21
26,,CCAFS,,,,,,,,,F9 B5B1058.2,,5 August 2014,20:10:46
27,,KSC,,,,,,,,,F9 B5,,7 September 2014,21:30
28,,CCAFS,,,,,,,,,F9 B5B1049.6,,21 September 2014,05:12
29,,CCAFS,,,,,,,,,F9 B5,,10 January 2015,14:31
30,,KSC,,,,,,,,,F9 B5B1060.2,,11 February 2015,23:18
31,,KSC,,,,,,,,,F9 B5B1058.3,,2 March 2015,12:46:14
32,,KSC,,,,,,,,,F9 B5B1051.6,,14 April 2015,11:29:34
33,,CCAFS,,,,,,,,,F9 B5,,27 April 2015,12:25:57
34,,CCAFS,,,,,,,,,F9 B5,,28 June 2015,15:31:34
35,,KSC,,,,,,,,,F9 B5,,22 December 2015,23:24:23
36,,VAFB,,,,,,,,,F9 B5,,17 January 2016,00:27
37,,CCAFS,,,,,,,,,F9 B5 ♺,,4 March 2016,17:17:08
38,,KSC,,,,,,,,,F9 B5 ♺,,8 April 2016,02:13
39,,CCSFS,,,,,,,,,F9 B5 ♺,,6 May 2016,16:17:08
40,,KSC,,,,,,,,,F9 B5 ♺,,27 May 2016,17:30:00
41,,CCSFS,,,,,,,,,F9 B5,,15 June 2016,14:00:00
42,,KSC,,,,,,,,,F9 B5B1051.8,,18 July 2016,02:15
43,,CCSFS,,,,,,,,,F9 B5B1058.5,,14 August 2016,13:02
44,,CCAFS,,,,,,,,,F9 v1.0B0003.1,,14 January 2017,15:00
45,,CCAFS,,,,,,,,,F9 v1.0B0004.1,,19 February 2017,18:45
46,,CCAFS,,,,,,,,,F9 v1.0B0005.1,,16 March 2017,15:43
47,,CCAFS,,,,,,,,,F9 v1.0B0006.1,,30 March 2017,07:44
48,,CCAFS,,,,,,,,,F9 v1.0B0007.1,,1 May 2017,00:35
49,,VAFB,,,,,,,,,F9 v1.1B1003,,15 May 2017,15:10
50,,CCAFS,,,,,,,,,F9 v1.1,,3 June 2017,16:00
51,,CCAFS,,,,,,,,,F9 v1.1,,23 June 2017,22:41
52,,Cape Canaveral,,,,,,,,,F9 v1.1,,25 June 2017,22:06
53,,Cape Canaveral,,,,,,,,,F9 v1.1,,5 July 2017,19:25
54,,Cape Canaveral,,,,,,,,,F9 v1.1,,14 August 2017,15:15
55,,Cape Canaveral,,,,,,,,,F9 v1.1,,24 August 2017,08:00
56,,Cape Canaveral,,,,,,,,,F9 v1.1,,7 September 2017,05:00
57,,Cape Canaveral,,,,,,,,,F9 v1.1,,9 October 2017,05:52
58,,Cape Canaveral,,,,,,,,,F9 v1.1,,11 October 2017,09:47
59,,Cape Canaveral,,,,,,,,,F9 v1.1,,30 October 2017,23:03
60,,Cape Canaveral,,,,,,,,,F9 v1.1,,15 December 2017,03:50
61,,Cape Canaveral,,,,,,,,,F9 v1.1,,23 December 2017,20:10
62,,Cape Canaveral,,,,,,,,,F9 v1.0B0003.1,,8 January 2018,23:03
63,,Cape Canaveral,,,,,,,,,F9 v1.0B0004.1,,31 January 2018,18:45
64,,VAFB,,,,,,,,,F9 v1.0B0005.1,,22 February 2018,15:43
65,,Cape Canaveral,,,,,,,,,F9 v1.0B0006.1,,6 March 2018,07:44
66,,Cape Canaveral,,,,,,,,,F9 v1.0B0007.1,,30 March 2018,00:35
67,,Cape Canaveral,,,,,,,,,F9 v1.1B1003,,2 April 2018,15:10
68,,Cape Canaveral,,,,,,,,,F9 v1.1,,18 April 2018,16:00
69,,Cape Canaveral,,,,,,,,,F9 v1.1,,11 May 2018,22:41
70,,Cape Canaveral,,,,,,,,,F9 v1.1,,22 May 2018,22:06
71,,Cape Canaveral,,,,,,,,,F9 v1.1,,4 June 2018,19:25
72,,VAFB,,,,,,,,,F9 v1.1,,29 June 2018,15:15
73,,KSC,,,,,,,,,F9 v1.1,,22 July 2018,08:00
74,,KSC,,,,,,,,,F9 v1.1,,25 July 2018,05:00
75,,KSC,,,,,,,,,F9 v1.1,,7 August 2018,05:52
76,,KSC,,,,,,,,,F9 v1.1,,10 September 2018,09:47
77,,KSC,,,,,,,,,F9 v1.1,,8 October 2018,23:03
78,,KSC,,,,,,,,,F9 v1.1,,15 November 2018,03:50
79,,KSC,,,,,,,,,F9 v1.1,,3 December 2018,20:10
80,,VAFB,,,,,,,,,F9 v1.1,,5 December 2018,23:03
81,,KSC,,,,,,,,,F9 FT,,23 December 2018,14:21
82,,KSC,,,,,,,,,F9 v1.1,,11 January 2019,01:29
83,,VAFB,,,,,,,,,F9 FT,,22 February 2019,18:42
84,,KSC,,,,,,,,,F9 FT,,2 March 2019,23:35
85,,VAFB,,,,,,,,,F9 FT,,4 May 2019,20:43
86,,KSC,,,,,,,,,F9 FT,,24 May 2019,05:21
87,,KSC,,,,,,,,,F9 FT,,12 June 2019,21:39
88,,Cape Canaveral,,,,,,,,,F9 FT,,25 July 2019,14:29
89,,VAFB,,,,,,,,,F9 FT,,6 August 2019,04:45
90,,CCAFS,,,,,,,,,F9 FT,,11 November 2019,05:26
91,,CCAFS,,,,,,,,,F9 FT,,5 December 2019,17:54
92,,VAFB,,,,,,,,,F9 FT,,17 December 2019,14:39
93,,CCAFS,,,,,,,,,F9 FT♺,,7 January 2020,06:00
94,,VAFB,,,,,,,,,F9 FT,,19 January 2020,22:27
95,,CCAFS,,,,,,,,,F9 FT,,29 January 2020,11:15
96,,CCAFS,,,,,,,,,F9 FT,,17 February 2020,23:21
97,,KSC,,,,,,,,,F9 FTB1029.2,,7 March 2020,21:07
98,,VAFB,,,,,,,,,F9 FT,,18 March 2020,19:10
99,,CCAFS,,,,,,,,,F9 FT,,22 April 2020,20:25
100,,CCAFS,,,,,,,,,F9 B4,,30 May 2020,23:38
101,,CCAFS,,,,,,,,,F9 FT,,4 June 2020,16:31
102,,VAFB,,,,,,,,,F9 B4,,13 June 2020,18:51
103,,CCAFS,,,,,,,,,F9 B4,,30 June 2020,14:00
104,,CCAFS,,,,,,,,,F9 FTB1031.2,,20 July 2020,12:37
105,,VAFB,,,,,,,,,F9 B4,,7 August 2020,22:53:00
106,,KSC,,,,,,,,,F9 FTB1035.2,,18 August 2020,19:34
1,,VAFB,,,,,,,,,F9 FTB1036.2,,30 August 2020,15:36
2,,CCAFS,,,,,,,,,F9 B4,,3 September 2020,01:27
3,,CCAFS,,,,,,,,,F9 FTB1032.2,,6 October 2020,01:00
4,,VAFB,,,,,,,,,F9 FTB1038.2,,18 October 2020,21:25
5,,CCAFS,,,,,,,,,F9 B4,,24 October 2020,14:17
6,,KSC,,,,,,,,,F9 B4B1041.2,,5 November 2020,05:33
7,,CCAFS,,,,,,,,,F9 B4B1039.2,,16 November 2020,14:14
8,,CCAFS,,,,,,,,,F9 B4,,21 November 2020,20:30
9,,VAFB,,,,,,,,,F9 B5B1046.1,,25 November 2020,22:51
10,,CCAFS,,,,,,,,,F9 B4B1043.2,,6 December 2020,20:14
11,,CCAFS,,,,,,,,,F9 B4B1040.2,,13 December 2020,19:47
12,,CCAFS,,,,,,,,,F9 B4B1045.2,,19 December 2020,04:45
13,,CCAFS,,,,,,,,,F9 B5,,8 January 2021,09:42
14,,CCAFS,,,,,,,,,F9 B5B1048,,20 January 2021,05:50
15,,CCAFS,,,,,,,,,F9 B5B1046.2,,24 January 2021,11:39
16,,KSC,,,,,,,,,F9 B5,,4 June 2010,05:18
17,,CCAFS,,,,,,,,,F9 B5B1048.2,,8 December 2010,04:45
18,,CCAFS,,,,,,,,,F9 B5B1047.2,,22 May 2012,02:22
19,,CCAFS,,,,,,,,,F9 B5B1046.3,,8 October 2012,20:46
20,,KSC,,,,,,,,,F9 B5,,1 March 2013,18:34:05
21,,KSC,,,,,,,,,F9 B5,,29 September 2013,18:16
22,,KSC,,,,,,,,,F9 B5B1049.2,,3 December 2013,13:51
23,,CCAFS,,,,,,,,,F9 B5B1048.3,,6 January 2014,15:31
